Id,Designation,Comment,G,h,b,tw,tf,r,d,cw/tw,cf/tf,C,N,n,m2/m1,m2/T,Iy,Iz,iy,iz,Wely,Welz,Wply,Wplz,U,X,Iw,IT,A,e0,r1,r2,cy,cz,Iu,Iv,iu,iv,?a min,?a max,Tan ?,?a,d/t,Wt
,300x150x16 RHS,-,103,300,150,16,16,,,15.8,6.38,,,,0.859,8.35,14200,4600,10.4,5.92,944,613,1210,732,,,,11500,131,,,,,,,,,,,,,,,1040
,300x200x5 RHS,-,38.3,300,200,5,5,,,57,37,,,,0.987,25.8,6320,3400,11.4,8.35,421,340,501,380,,,,6820,48.7,,,,,,,,,,,,,,,552
,300x200x6.3 RHS,-,47.9,300,200,6.3,6.3,,,44.6,28.7,,,,0.984,20.6,7830,4190,11.3,8.29,522,419,624,472,,,,8480,61,,,,,,,,,,,,,,,681
,300x200x7.1 RHS,-,53.7,300,200,7.1,7.1,,,39.3,25.2,,,,0.982,18.3,8730,4670,11.3,8.26,582,467,698,528,,,,9470,68.4,,,,,,,,,,,,,,,757
,300x200x8 RHS,-,60.3,300,200,8,8,,,34.5,22,,,,0.979,16.3,9720,5180,11.3,8.22,648,518,779,589,,,,10600,76.8,,,,,,,,,,,,,,,840
,300x200x8.8 RHS,-,66,300,200,8.8,8.8,,,31.1,19.7,,,,0.977,14.9,10600,5630,11.2,8.18,705,563,851,643,,,,11500,84.1,,,,,,,,,,,,,,,912
,300x200x10 RHS,-,74.5,300,200,10,10,,,27,17,,,,0.974,13.1,11800,6280,11.2,8.13,788,628,956,721,,,,12900,94.9,,,,,,,,,,,,,,,1020
,300x200x12.5 RHS,-,91.9,300,200,12.5,12.5,,,21,13,,,,0.968,10.6,14300,7540,11,8.02,952,754,1170,877,,,,15700,117,,,,,,,,,,,,,,,1220
,300x200x14.2 RHS,-,103,300,200,14.2,14.2,,,18.1,11.1,,,,0.963,9.31,15800,8330,11,7.95,1060,833,1300,978,,,,17500,132,,,,,,,,,,,,,,,1340
,300x200x16 RHS,-,115,300,200,16,16,,,15.8,9.5,,,,0.959,8.31,17400,9110,10.9,7.87,1160,911,1440,1080,,,,19300,147,,,,,,,,,,,,,,,1470
,300x250x5 RHS,-,42.2,300,250,5,5,,,57,47,,,,1.09,25.8,7410,5610,11.7,10.2,494,449,575,508,,,,9770,53.7,,,,,,,,,,,,,,,697
,300x250x6.3 RHS,-,52.8,300,250,6.3,6.3,,,44.6,36.7,,,,1.08,20.4,9190,6950,11.7,10.2,613,556,716,633,,,,12200,67.3,,,,,,,,,,,,,,,862
,300x250x7.1 RHS,-,59.3,300,250,7.1,7.1,,,39.3,32.2,,,,1.08,18.3,10300,7750,11.6,10.1,683,620,802,708,,,,13600,75.5,,,,,,,,,,,,,,,960
,300x250x8 RHS,-,66.5,300,250,8,8,,,34.5,28.3,,,,1.08,16.2,11400,8630,11.6,10.1,761,690,896,791,,,,15200,84.8,,,,,,,,,,,,,,,1070
,300x250x8.8 RHS,-,72.9,300,250,8.8,8.8,,,31.1,25.4,,,,1.08,14.8,12400,9390,11.6,10.1,829,751,979,864,,,,16600,92.9,,,,,,,,,,,,,,,1160
,300x250x10 RHS,-,82.4,300,250,10,10,,,27,22,,,,1.07,12.9,13900,10500,11.5,10,928,840,1100,971,,,,18600,105,,,,,,,,,,,,,,,1300
,300x250x12.5 RHS,-,102,300,250,12.5,12.5,,,21,17,,,,1.07,10.5,16900,12700,11.4,9.89,1120,1010,1350,1190,,,,22700,130,,,,,,,,,,,,,,,1560
,300x250x14.2 RHS,-,115,300,250,14.2,14.2,,,18.1,14.6,,,,1.06,9.25,18700,14100,11.3,9.82,1250,1130,1510,1330,,,,25400,146,,,,,,,,,,,,,,,1730
,300x250x16 RHS,-,128,300,250,16,16,,,15.8,12.6,,,,1.06,8.28,20600,15500,11.2,9.74,1380,1240,1670,1470,,,,28100,163,,,,,,,,,,,,,,,1900
,340x100x10 RHS,-,65.1,340,100,10,10,,,31,7,,,,0.854,13.2,10600,1440,11.3,4.16,623,288,823,332,,,,4300,82.9,,,,,,,,,,,,,,,523
,350x150x5 RHS,-,38.3,350,150,5,5,,,67,27,,,,0.987,25.8,7660,2050,12.5,6.49,437,274,543,301,,,,5160,48.7,,,,,,,,,,,,,,,477
,350x150x6.3 RHS,-,47.9,350,150,6.3,6.3,,,52.6,20.8,,,,0.984,20.6,9480,2530,12.5,6.43,542,337,676,373,,,,6390,61,,,,,,,,,,,,,,,586
,350x150x7.1 RHS,-,53.7,350,150,7.1,7.1,,,46.3,18.1,,,,0.982,18.3,10600,2800,12.4,6.4,604,374,756,416,,,,7120,68.4,,,,,,,,,,,,,,,651
,350x150x8 RHS,-,60.3,350,150,8,8,,,40.8,15.8,,,,0.979,16.3,11800,3110,12.4,6.36,673,414,844,464,,,,7930,76.8,,,,,,,,,,,,,,,721
,350x150x8.8 RHS,-,66,350,150,8.8,8.8,,,36.8,14,,,,0.977,14.9,12800,3360,12.3,6.33,732,449,922,506,,,,8620,84.1,,,,,,,,,,,,,,,781
,350x150x10 RHS,-,74.5,350,150,10,10,,,32,12,,,,0.974,13.1,14300,3740,12.3,6.27,818,498,1040,566,,,,9630,94.9,,,,,,,,,,,,,,,867
,350x150x12.5 RHS,-,91.9,350,150,12.5,12.5,,,25,9,,,,0.968,10.6,17300,4450,12.2,6.17,988,593,1260,686,,,,11600,117,,,,,,,,,,,,,,,1030
,350x150x14.2 RHS,-,103,350,150,14.2,14.2,,,21.6,7.56,,,,0.963,9.31,19200,4890,12.1,6.09,1100,652,1410,763,,,,12900,132,,,,,,,,,,,,,,,1130
,350x150x16 RHS,-,115,350,150,16,16,,,18.9,6.38,,,,0.959,8.31,21100,5320,12,6.01,1210,709,1560,840,,,,14100,147,,,,,,,,,,,,,,,1230
,350x250x6.3 RHS,-,57.8,350,250,6.3,6.3,,,52.6,36.7,,,,1.18,20.4,13200,7890,13.4,10.4,754,631,892,709,,,,15200,73.6,,,,,,,,,,,,,,,1010
,350x250x7.1 RHS,-,64.9,350,250,7.1,7.1,,,46.3,32.2,,,,1.18,18.2,14700,8800,13.4,10.3,843,704,999,794,,,,17000,82.6,,,,,,,,,,,,,,,1130
,350x250x8 RHS,-,72.8,350,250,8,8,,,40.8,28.3,,,,1.18,16.2,16400,9800,13.3,10.3,940,784,1120,888,,,,19000,92.8,,,,,,,,,,,,,,,1250
,350x250x8.8 RHS,-,79.8,350,250,8.8,8.8,,,36.8,25.4,,,,1.18,14.8,17900,10700,13.3,10.2,1030,853,1220,970,,,,20800,102,,,,,,,,,,,,,,,1370
,350x250x10 RHS,-,90.2,350,250,10,10,,,32,22,,,,1.17,13,20100,11900,13.2,10.2,1150,955,1380,1090,,,,23400,115,,,,,,,,,,,,,,,1530
,350x250x12.5 RHS,-,112,350,250,12.5,12.5,,,25,17,,,,1.17,10.5,24400,14400,13.1,10.1,1400,1160,1690,1330,,,,28500,142,,,,,,,,,,,,,,,1840
,350x250x14.2 RHS,-,126,350,250,14.2,14.2,,,21.6,14.6,,,,1.16,9.22,27200,16000,13,10,1550,1280,1890,1490,,,,31900,160,,,,,,,,,,,,,,,2040
,350x250x16 RHS,-,141,350,250,16,16,,,18.9,12.6,,,,1.16,8.26,30000,17700,12.9,9.93,1720,1410,2100,1660,,,,35300,179,,,,,,,,,,,,,,,2250
,400x120x6.3 RHS,-,49.9,400,120,6.3,6.3,,,60.5,16,,,,1.02,20.1,11800,1740,13.6,5.24,590,291,762,320,,,,5040,63.5,,,,,,,,,,,,,,,527
,400x120x8 RHS,-,62.8,400,120,8,8,,,47,12,,,,1.02,15.9,14600,2130,13.5,5.17,732,356,952,397,,,,6220,80,,,,,,,,,,,,,,,645
,400x120x10 RHS,-,77.7,400,120,10,10,,,37,9,,,,1.01,12.9,17800,2550,13.4,5.08,891,425,1170,483,,,,7510,98.9,,,,,,,,,,,,,,,771
,400x120x12.5 RHS,-,95.8,400,120,12.5,12.5,,,29,6.6,,,,1.01,10.5,21600,3010,13.3,4.97,1080,502,1430,583,,,,8980,122,,,,,,,,,,,,,,,911
,400x150x5 RHS,-,42.2,400,150,5,5,,,77,27,,,,1.09,25.8,10700,2320,14.1,6.57,534,309,671,337,,,,6130,53.7,,,,,,,,,,,,,,,547
,400x150x6.3 RHS,-,52.8,400,150,6.3,6.3,,,60.5,20.8,,,,1.08,20.4,13300,2850,14,6.51,663,380,836,418,,,,7600,67.3,,,,,,,,,,,,,,,673
,400x150x7.1 RHS,-,59.3,400,150,7.1,7.1,,,53.3,18.1,,,,1.08,18.3,14800,3170,14,6.47,740,422,936,467,,,,8470,75.5,,,,,,,,,,,,,,,748
,400x150x8 RHS,-,66.5,400,150,8,8,,,47,15.8,,,,1.08,16.2,16500,3510,13.9,6.43,824,468,1050,521,,,,9420,84.8,,,,,,,,,,,,,,,828
,400x150x8.8 RHS,-,72.9,400,150,8.8,8.8,,,42.5,14,,,,1.08,14.8,18000,3800,13.9,6.4,898,507,1140,568,,,,10300,92.9,,,,,,,,,,,,,,,898
,400x150x10 RHS,-,82.4,400,150,10,10,,,37,12,,,,1.07,12.9,20100,4230,13.8,6.35,1010,564,1290,636,,,,11500,105,,,,,,,,,,,,,,,998
,400x150x12.5 RHS,-,102,400,150,12.5,12.5,,,29,9,,,,1.07,10.5,24400,5040,13.7,6.24,1220,672,1570,772,,,,13800,130,,,,,,,,,,,,,,,1190
,400x150x14.2 RHS,-,115,400,150,14.2,14.2,,,25.2,7.56,,,,1.06,9.25,27100,5550,13.6,6.16,1360,740,1760,859,,,,15300,146,,,,,,,,,,,,,,,1310
,400x150x16 RHS,-,128,400,150,16,16,,,22,6.38,,,,1.06,8.28,29800,6040,13.5,6.09,1490,805,1950,947,,,,16800,163,,,,,,,,,,,,,,,1430
,400x200x6.3 RHS,-,57.8,400,200,6.3,6.3,,,60.5,28.7,,,,1.18,20.4,15700,5380,14.6,8.55,785,538,960,594,,,,12600,73.6,,,,,,,,,,,,,,,917
,400x200x7.1 RHS,-,64.9,400,200,7.1,7.1,,,53.3,25.2,,,,1.18,18.2,17500,5990,14.6,8.51,877,599,1080,665,,,,14100,82.6,,,,,,,,,,,,,,,1020
,400x200x8 RHS,-,72.8,400,200,8,8,,,47,22,,,,1.18,16.2,19600,6660,14.5,8.47,978,666,1200,743,,,,15700,92.8,,,,,,,,,,,,,,,1140
,400x200x8.8 RHS,-,79.8,400,200,8.8,8.8,,,42.5,19.7,,,,1.18,14.8,21300,7240,14.5,8.44,1070,724,1320,811,,,,17200,102,,,,,,,,,,,,,,,1230
,400x200x10 RHS,-,90.2,400,200,10,10,,,37,17,,,,1.17,13,23900,8080,14.4,8.39,1200,808,1480,911,,,,19300,115,,,,,,,,,,,,,,,1380
,400x200x12.5 RHS,-,112,400,200,12.5,12.5,,,29,13,,,,1.17,10.5,29100,9740,14.3,8.28,1450,974,1810,1110,,,,23400,142,,,,,,,,,,,,,,,1660
,400x200x14.2 RHS,-,126,400,200,14.2,14.2,,,25.2,11.1,,,,1.16,9.22,32400,10800,14.2,8.21,1620,1080,2030,1240,,,,26100,160,,,,,,,,,,,,,,,1830
,400x200x16 RHS,-,141,400,200,16,16,,,22,9.5,,,,1.16,8.26,35700,11800,14.1,8.13,1790,1180,2260,1370,,,,28900,179,,,,,,,,,,,,,,,2010
,400x300x8 RHS,-,85.4,400,300,8,8,,,47,34.5,,,,1.38,16.1,25700,16500,15.4,12.3,1290,1100,1520,1250,,,,31000,109,,,,,,,,,,,,,,,1750
,400x300x8.8 RHS,-,93.6,400,300,8.8,8.8,,,42.5,31.1,,,,1.38,14.8,28100,18000,15.3,12.3,1400,1200,1660,1360,,,,33900,119,,,,,,,,,,,,,,,1910
,400x300x10 RHS,-,106,400,300,10,10,,,37,27,,,,1.37,12.9,31500,20200,15.3,12.2,1580,1350,1870,1540,,,,38200,135,,,,,,,,,,,,,,,2140
,400x300x12.5 RHS,-,131,400,300,12.5,12.5,,,29,21,,,,1.37,10.4,38500,24600,15.2,12.1,1920,1640,2300,1880,,,,46800,167,,,,,,,,,,,,,,,2590
,400x300x14.2 RHS,-,148,400,300,14.2,14.2,,,25.2,18.1,,,,1.36,9.19,43000,27400,15.1,12.1,2150,1830,2580,2110,,,,52500,189,,,,,,,,,,,,,,,2890
,400x300x16 RHS,-,166,400,300,16,16,,,22,15.8,,,,1.36,8.21,47500,30300,15,12,2380,2020,2870,2350,,,,58300,211,,,,,,,,,,,,,,,3180
,450x250x8 RHS,-,85.4,450,250,8,8,,,53.3,28.3,,,,1.38,16.1,30100,12100,16.6,10.6,1340,971,1620,1080,,,,27100,109,,,,,,,,,,,,,,,1630
,450x250x8.8 RHS,-,93.6,450,250,8.8,8.8,,,48.1,25.4,,,,1.38,14.8,32800,13200,16.6,10.5,1460,1060,1770,1180,,,,29600,119,,,,,,,,,,,,,,,1770
,450x250x10 RHS,-,106,450,250,10,10,,,42,22,,,,1.37,12.9,36900,14800,16.5,10.5,1640,1190,2000,1330,,,,33300,135,,,,,,,,,,,,,,,1990
,450x250x12.5 RHS,-,131,450,250,12.5,12.5,,,33,17,,,,1.37,10.4,45000,18000,16.4,10.4,2000,1440,2460,1630,,,,40700,167,,,,,,,,,,,,,,,2410
,450x250x14.2 RHS,-,148,450,250,14.2,14.2,,,28.7,14.6,,,,1.36,9.19,50300,20000,16.3,10.3,2240,1600,2760,1830,,,,45600,189,,,,,,,,,,,,,,,2680
,450x250x16 RHS,-,166,450,250,16,16,,,25.1,12.6,,,,1.36,8.21,55700,22000,16.2,10.2,2480,1760,3070,2030,,,,50500,211,,,,,,,,,,,,,,,2950
,500x200x8 RHS,-,85.4,500,200,8,8,,,59.5,22,,,,1.38,16.1,34000,8140,17.7,8.65,1360,814,1710,896,,,,21100,109,,,,,,,,,,,,,,,1430
,500x200x8.8 RHS,-,93.6,500,200,8.8,8.8,,,53.8,19.7,,,,1.38,14.8,37200,8850,17.7,8.61,1490,885,1870,979,,,,23000,119,,,,,,,,,,,,,,,1560
,500x200x10 RHS,-,106,500,200,10,10,,,47,17,,,,1.37,12.9,41800,9890,17.6,8.56,1670,989,2110,1100,,,,25900,135,,,,,,,,,,,,,,,1740
,500x200x12.5 RHS,-,131,500,200,12.5,12.5,,,37,13,,,,1.37,10.4,51000,11900,17.5,8.45,2040,1190,2590,1350,,,,31500,167,,,,,,,,,,,,,,,2100
,500x200x14.2 RHS,-,148,500,200,14.2,14.2,,,32.2,11.1,,,,1.36,9.19,56900,13200,17.4,8.38,2280,1320,2900,1510,,,,35200,189,,,,,,,,,,,,,,,2320
,500x200x16 RHS,-,166,500,200,16,16,,,28.3,9.5,,,,1.36,8.21,63000,14500,17.3,8.3,2520,1450,3230,1670,,,,38900,211,,,,,,,,,,,,,,,2550
,500x300x8 RHS,-,97.9,500,300,8,8,,,59.5,34.5,,,,1.58,16.1,43700,20000,18.7,12.6,1750,1330,2100,1480,,,,42600,125,,,,,,,,,,,,,,,2200
,500x300x8.8 RHS,-,107,500,300,8.8,8.8,,,53.8,31.1,,,,1.58,14.7,47800,21800,18.7,12.6,1910,1450,2300,1620,,,,46600,137,,,,,,,,,,,,,,,2400
,500x300x10 RHS,-,122,500,300,10,10,,,47,27,,,,1.57,12.9,53800,24400,18.6,12.6,2150,1630,2600,1830,,,,52500,155,,,,,,,,,,,,,,,2700
,500x300x12.5 RHS,-,151,500,300,12.5,12.5,,,37,21,,,,1.57,10.4,65800,29800,18.5,12.5,2630,1990,3200,2240,,,,64400,192,,,,,,,,,,,,,,,3280
,500x300x14.2 RHS,-,170,500,300,14.2,14.2,,,32.2,18.1,,,,1.56,9.16,73700,33200,18.4,12.4,2950,2220,3590,2520,,,,72200,217,,,,,,,,,,,,,,,3660
,500x300x16 RHS,-,191,500,300,16,16,,,28.3,15.8,,,,1.56,8.17,81800,36800,18.3,12.3,3270,2450,4010,2800,,,,80300,243,,,,,,,,,,,,,,,4040
,500x300x20 RHS,-,235,500,300,20,20,,,22,12,,,,1.55,6.59,98800,44100,18.2,12.1,3950,2940,4890,3410,,,,97400,300,,,,,,,,,,,,,,,4840
