Id,Designation,CategoryName,SubCategory,Comment,G,h,b,tw,tf,r,d,cw/tw,cf/tf,C,N,n,m2_m1,m2/T,Iy,Iz,iy,iz,Wely,Welz,Wply,Wplz,U,X,Iw,IT,A
,254x254x107 UC,UC Universal Column,,-,107.1,266.7,258.8,12.8,20.5,12.7,200.3,15.6,5.38,8,134,34,1.52,14.2,17500,5930,11.3,6.59,1310,458,1480,697,0.848,12.4,0.898,172,136
,254x254x89 UC,UC Universal Column,,-,88.9,260.3,256.3,10.3,17.3,12.7,200.3,19.4,6.38,7,134,30,1.5,16.9,14300,4860,11.2,6.55,1100,379,1220,575,0.85,14.5,0.717,102,113
,254x254x73 UC,UC Universal Column,,-,73.1,254.1,254.6,8.6,14.2,12.7,200.3,23.3,7.77,6,134,28,1.49,20.4,11400,3910,11.1,6.48,898,307,992,465,0.849,17.3,0.562,57.6,93.1
,203x203x127 UC,UC Universal Column,,Tata,127.5,241.4,213.9,18.1,30.1,10.2,160.8,8.88,2.91,11,108,42,1.28,10,15400,4920,9.75,5.5,1280,460,1520,704,0.854,7.38,0.549,427,162
,203x203x113 UC,UC Universal Column,,Tata,113.5,235,212.1,16.3,26.9,10.2,160.8,9.87,3.26,10,108,38,1.27,11.2,13300,4290,9.59,5.45,1130,404,1330,618,0.853,8.11,0.464,305,145
,203x203x100 UC,UC Universal Column,,Tata,99.6,228.6,210.3,14.5,23.7,10.2,160.8,11.1,3.7,9,108,34,1.25,12.6,11300,3680,9.44,5.39,988,350,1150,534,0.852,9.02,0.386,210,127
,203x203x86 UC,UC Universal Column,,-,86.1,222.2,209.1,12.7,20.5,10.2,160.8,12.7,4.29,8,110,32,1.24,14.4,9450,3130,9.28,5.34,850,299,977,456,0.85,10.2,0.318,137,110
,203x203x71 UC,UC Universal Column,,-,71,215.8,206.4,10,17.3,10.2,160.8,16.1,5.09,7,110,28,1.22,17.2,7620,2540,9.18,5.3,706,246,799,374,0.853,11.9,0.25,80.2,90.4
,203x203x60 UC,UC Universal Column,,-,60,209.6,205.8,9.4,14.2,10.2,160.8,17.1,6.2,7,110,26,1.21,20.2,6130,2070,8.96,5.2,584,201,656,305,0.846,14.1,0.197,47.2,76.4
,203x203x52 UC,UC Universal Column,,-,52,206.2,204.3,7.9,12.5,10.2,160.8,20.4,7.04,6,110,24,1.2,23.1,5260,1780,8.91,5.18,510,174,567,264,0.848,15.8,0.167,31.8,66.3
,203x203x46 UC,UC Universal Column,,-,46.1,203.2,203.6,7.2,11,10.2,160.8,22.3,8,6,110,22,1.19,25.8,4570,1550,8.82,5.13,450,152,497,231,0.847,17.7,0.143,22.2,58.7
,152x152x51 UKC,UC Universal Column,,Tata,51.2,170.2,157.4,11,15.7,7.6,123.6,11.2,4.18,8,84,24,0.935,18.3,3230,1020,7.04,3.96,379,130,438,199,0.848,10.1,0.061,48.8,65.2
,152x152x44 UKC,UC Universal Column,,Tata,44,166,155.9,9.5,13.6,7.6,123.6,13,4.82,7,84,22,0.924,21,2700,860,6.94,3.92,326,110,372,169,0.848,11.5,0.0499,31.7,56.1
,152x152x37 UC,UC Universal Column,,-,37,161.8,154.4,8,11.5,7.6,123.6,15.5,5.7,6,84,20,0.912,24.7,2210,706,6.85,3.87,273,91.5,309,140,0.848,13.3,0.0399,19.2,47.1
,152x152x30 UC,UC Universal Column,,-,30,157.6,152.9,6.5,9.4,7.6,123.6,19,6.98,5,84,18,0.901,30,1750,560,6.76,3.83,222,73.3,248,112,0.849,16,0.0308,10.5,38.3
,152x152x23 UC,UC Universal Column,,-,23,152.4,152.2,5.8,6.8,7.6,123.6,21.3,9.65,5,84,16,0.889,38.7,1250,400,6.54,3.7,164,52.6,182,80.1,0.84,20.7,0.0212,4.63,29.2
