Id,Designation,Comment,G,h,b,tw,tf,r,d,cw/tw,cf/tf,C,N,n,m2/m1,m2/T,Iy,Iz,iy,iz,Wely,Welz,Wply,Wplz,U,X,Iw,IT,A,e0,r1,r2,cy,cz,Iu,Iv,iu,iv,?a min,?a max,Tan ?,?a,d/t,Wt
,323.9x5 CHS,-,39.3,323.9,323.9,5,5,,,,,,,,1.02,25.9,6370,6370,11.3,11.3,393,393,509,509,,,,12700,50.1,,,,,,,,,,,,,,64.8,787
,323.9x5.6 CHS,-,44,323.9,323.9,5.6,5.6,,,,,,,,1.02,23.2,7090,7090,11.3,11.3,438,438,567,567,,,,14200,56,,,,,,,,,,,,,,57.8,876
,323.9x6.3 CHS,-,49.3,323.9,323.9,6.3,6.3,,,,,,,,1.02,20.7,7930,7930,11.2,11.2,490,490,636,636,,,,15900,62.9,,,,,,,,,,,,,,51.4,979
,323.9x8 CHS,-,62.3,323.9,323.9,8,8,,,,,,,,1.02,16.3,9910,9910,11.2,11.2,612,612,799,799,,,,19800,79.4,,,,,,,,,,,,,,40.5,1220
,323.9x10 CHS,-,77.4,323.9,323.9,10,10,,,,,,,,1.02,13.2,12200,12200,11.1,11.1,751,751,986,986,,,,24300,98.6,,,,,,,,,,,,,,32.4,1500
,323.9x12.5 CHS,-,96,323.9,323.9,12.5,12.5,,,,,,,,1.02,10.6,14800,14800,11,11,917,917,1210,1210,,,,29700,122,,,,,,,,,,,,,,25.9,1830
,323.9x14.2 CHS,-,108,323.9,323.9,14.2,14.2,,,,,,,,1.02,9.4,16600,16600,11,11,1030,1030,1360,1360,,,,33200,138,,,,,,,,,,,,,,22.8,2050
,323.9x16 CHS,-,121,323.9,323.9,16,16,,,,,,,,1.02,8.39,18400,18400,10.9,10.9,1140,1140,1520,1520,,,,36800,155,,,,,,,,,,,,,,20.2,2270
,355.6x5 CHS,-,43.2,355.6,355.6,5,5,,,,,,,,1.12,25.9,8460,8460,12.4,12.4,476,476,615,615,,,,16900,55.1,,,,,,,,,,,,,,71.1,952
,355.6x6.3 CHS,-,54.3,355.6,355.6,6.3,6.3,,,,,,,,1.12,20.6,10500,10500,12.4,12.4,593,593,769,769,,,,21100,69.1,,,,,,,,,,,,,,56.4,1190
,355.6x8 CHS,-,68.6,355.6,355.6,8,8,,,,,,,,1.12,16.4,13200,13200,12.3,12.3,742,742,967,967,,,,26400,87.4,,,,,,,,,,,,,,44.5,1490
,355.6x10 CHS,-,85.2,355.6,355.6,10,10,,,,,,,,1.12,13.1,16200,16200,12.2,12.2,912,912,1200,1200,,,,32400,109,,,,,,,,,,,,,,35.6,1830
,355.6x12.5 CHS,-,106,355.6,355.6,12.5,12.5,,,,,,,,1.12,10.6,19900,19900,12.1,12.1,1120,1120,1470,1470,,,,39700,135,,,,,,,,,,,,,,28.4,2230
,355.6x14.2 CHS,-,120,355.6,355.6,14.2,14.2,,,,,,,,1.12,9.36,22200,22200,12.1,12.1,1250,1250,1660,1660,,,,44500,152,,,,,,,,,,,,,,25,2500
,355.6x16 CHS,-,134,355.6,355.6,16,16,,,,,,,,1.12,8.36,24700,24700,12,12,1390,1390,1850,1850,,,,49300,171,,,,,,,,,,,,,,22.2,2770
,406.4x6.3 CHS,-,62.2,406.4,406.4,6.3,6.3,,,,,,,,1.28,20.6,15800,15800,14.1,14.1,780,780,1010,1010,,,,31700,79.2,,,,,,,,,,,,,,64.5,1560
,406.4x8 CHS,-,78.6,406.4,406.4,8,8,,,,,,,,1.28,16.3,19900,19900,14.1,14.1,978,978,1270,1270,,,,39700,100,,,,,,,,,,,,,,50.8,1960
,406.4x10 CHS,-,97.8,406.4,406.4,10,10,,,,,,,,1.28,13.1,24500,24500,14,14,1210,1210,1570,1570,,,,49000,125,,,,,,,,,,,,,,40.6,2410
,406.4x12.5 CHS,-,121,406.4,406.4,12.5,12.5,,,,,,,,1.28,10.5,30000,30000,13.9,13.9,1480,1480,1940,1940,,,,60100,155,,,,,,,,,,,,,,32.5,2960
,406.4x14.2 CHS,-,137,406.4,406.4,14.2,14.2,,,,,,,,1.28,9.32,33700,33700,13.9,13.9,1660,1660,2190,2190,,,,67400,175,,,,,,,,,,,,,,28.6,3320
,406.4x16 CHS,-,154,406.4,406.4,16,16,,,,,,,,1.28,8.31,37400,37400,13.8,13.8,1840,1840,2440,2440,,,,74900,196,,,,,,,,,,,,,,25.4,3690
,457x6.3 CHS,-,70,457,457,6.3,6.3,,,,,,,,1.44,20.6,22700,22700,15.9,15.9,991,991,1280,1280,,,,45300,89.2,,,,,,,,,,,,,,72.5,1980
,457x8 CHS,-,88.6,457,457,8,8,,,,,,,,1.44,16.3,28400,28400,15.9,15.9,1250,1250,1610,1610,,,,56900,113,,,,,,,,,,,,,,57.1,2490
,457x10 CHS,-,110,457,457,10,10,,,,,,,,1.44,13.1,35100,35100,15.8,15.8,1540,1540,2000,2000,,,,70200,140,,,,,,,,,,,,,,45.7,3070
,457x12.5 CHS,-,137,457,457,12.5,12.5,,,,,,,,1.44,10.5,43100,43100,15.7,15.7,1890,1890,2470,2470,,,,86300,175,,,,,,,,,,,,,,36.6,3780
,457x14.2 CHS,-,155,457,457,14.2,14.2,,,,,,,,1.44,9.29,48500,48500,15.7,15.7,2120,2120,2790,2790,,,,96900,198,,,,,,,,,,,,,,32.2,4240
,457x16 CHS,-,174,457,457,16,16,,,,,,,,1.44,8.28,54000,54000,15.6,15.6,2360,2360,3110,3110,,,,108000,222,,,,,,,,,,,,,,28.6,4720
,508x6.3 CHS,-,77.9,508,508,6.3,6.3,,,,,,,,1.6,20.5,31200,31200,17.7,17.7,1230,1230,1590,1590,,,,62500,99.3,,,,,,,,,,,,,,80.6,2460
,508x8 CHS,-,98.6,508,508,8,8,,,,,,,,1.6,16.2,39300,39300,17.7,17.7,1550,1550,2000,2000,,,,78600,126,,,,,,,,,,,,,,63.5,3090
,508x10 CHS,-,123,508,508,10,10,,,,,,,,1.6,13,48500,48500,17.6,17.6,1910,1910,2480,2480,,,,97000,156,,,,,,,,,,,,,,50.8,3820
,508x12.5 CHS,-,153,508,508,12.5,12.5,,,,,,,,1.6,10.5,59800,59800,17.5,17.5,2350,2350,3070,3070,,,,120000,195,,,,,,,,,,,,,,40.6,4710
,508x14.2 CHS,-,173,508,508,14.2,14.2,,,,,,,,1.6,9.25,67200,67200,17.5,17.5,2650,2650,3460,3460,,,,134000,220,,,,,,,,,,,,,,35.8,5290
,508x16 CHS,-,194,508,508,16,16,,,,,,,,1.6,8.24,74900,74900,17.4,17.4,2950,2950,3870,3870,,,,150000,247,,,,,,,,,,,,,,31.8,5900
